relative_path,size_bytes,sha256
FIGURE_SOURCE_CATALOG.csv,4704,db57f59e65a27722a03a64d9166250335b328adde090dada1871d2e876897e4a
GATE_8_DECISION.json,483,a66c69496a003826186213f37ab42673083f4700e2a7f4ff8d668174404e526f
INFERENTIAL_RECORD_AUDIT.csv,6361,4d0688d89532d4f6f1aae0d83a764e6e7c19f573af1aad245fff4c319cb43bc0
RESULT_INVENTORY.csv,984655,3a7e73bfcbb0517776cbefe095949cf96cd178c882da54951922e5f65aebf2de
figure_sources/causal_specificity_contrasts.csv,1648,d825e7f63b65b26d25efb8f58c88ae16550277bfb51931357e1d859f4bc3a442
figure_sources/causal_specificity_seed_blocks.csv,25029,34af9be570d21034729692110a9fa5678f1d4768bfba66d8eaa6f4b0f6a255b8
figure_sources/core_frontier_points.csv,4668107,d301e23271ca087481fbfa1f3d8b4d909f58f0f78194667cc258e0f10bc7a251
figure_sources/core_inference_records.csv,22949,0bc30784704e210ad2da076c344b1a244bfbe3b1415b1ab3a84c5b7f454a16e5
figure_sources/core_information_replicates.csv,81448,4c4f9810188d206884cdb9aff95c7b5e1fcfa2da3adc79c83e878ba68b13b7a8
figure_sources/core_semantic_replicates.csv,109266,d8096c9e04f657337485dd2e1ffced4d04412ed2150c1319c52095e6f7c9bc69
figure_sources/generality_confirmatory_replicates.csv,7099,0c5f967225f319ad7b9b371e045b39dce9f41303ac4cfc35368ca30187cf40c6
figure_sources/generality_confirmatory_summary.csv,483,4c3fa39d27e2239fb481306894e4b8c5d5b7a64102ea6f158d87d2b18f870bef
figure_sources/generality_protocol_summary.csv,9787,fd74eac9a6b2c2c45fb0381029772e96992ba48e46a74e38c892d16abbc9286c
figure_sources/generality_screen_replicates.csv,191457,7fa270f81c45c52103338c363b430c9aea99d76aea31d21da9dff9372e2569b4
figure_sources/generality_screen_summary.csv,51817,b1bc2824bbbe25109f7a8fde34ac8165a032785d91a22514b9b5203c8356c1e1
